# fapiAttrInfo.csv
# This file is generated by perl script fapiParseAttributeInfo.pl
# It lists information about FAPI attributes and is used to
# process FAPI Attribute text files (overrides/syncs)
# Format:
# <FAPI-ATTR-ID-STR>,<LAYER-ATTR-ID-STR>,<ATTR-ID-VAL>,<ATTR-TYPE>
# Note that for the AttributeTanks at the FAPI layer, the
# FAPI-ATTR-ID-STR and LAYER-ATTR-ID-STR will be identical
ATTR_SCRATCH_UINT8_1,ATTR_SCRATCH_UINT8_1,0xd16a035,u8
ATTR_SCRATCH_UINT8_2,ATTR_SCRATCH_UINT8_2,0xd53bc45,u8
ATTR_SCRATCH_UINT32_1,ATTR_SCRATCH_UINT32_1,0x6e35711,u32
ATTR_SCRATCH_UINT32_2,ATTR_SCRATCH_UINT32_2,0xb6b04cf,u32
ATTR_SCRATCH_UINT64_1,ATTR_SCRATCH_UINT64_1,0x97c0c12,u64
ATTR_SCRATCH_UINT64_2,ATTR_SCRATCH_UINT64_2,0xa09fac0,u64
ATTR_SCRATCH_INT8_1,ATTR_SCRATCH_INT8_1,0x8d69f35,8
ATTR_SCRATCH_INT8_2,ATTR_SCRATCH_INT8_2,0xd0a271b,8
ATTR_SCRATCH_INT32_1,ATTR_SCRATCH_INT32_1,0xb5d67e7,32
ATTR_SCRATCH_INT32_2,ATTR_SCRATCH_INT32_2,0xedc4c34,32
ATTR_SCRATCH_INT64_1,ATTR_SCRATCH_INT64_1,0x439b62e,64
ATTR_SCRATCH_INT64_2,ATTR_SCRATCH_INT64_2,0x1201173,64
ATTR_SCRATCH_UINT32_ARRAY,ATTR_SCRATCH_UINT32_ARRAY,0xc4ffba2,u32[64]
ATTR_SCRATCH_UINT32_PERV_ARRAY,ATTR_SCRATCH_UINT32_PERV_ARRAY,0xb53ac5c,u32[64]
ATTR_REPR_RING,ATTR_REPR_RING,0xb4a5f78,u32
ATTR_TIME_RING,ATTR_TIME_RING,0x3b26e38,u32
ATTR_GPTR_RING,ATTR_GPTR_RING,0xe41805b,u32
ATTR_PLL_RING,ATTR_PLL_RING,0x2548674,u32
ATTR_CORE_REPR_RING,ATTR_CORE_REPR_RING,0x938b8fc,u32
ATTR_CORE_TIME_RING,ATTR_CORE_TIME_RING,0xd3f938f,u32
ATTR_CORE_GPTR_RING,ATTR_CORE_GPTR_RING,0x94e6329,u32
ATTR_L2_REPR_RING,ATTR_L2_REPR_RING,0x9db7d8a,u32
ATTR_L2_TIME_RING,ATTR_L2_TIME_RING,0x5999526,u32
ATTR_L2_GPTR_RING,ATTR_L2_GPTR_RING,0x780f3d2,u32
ATTR_L3_REPR_RING,ATTR_L3_REPR_RING,0x1364905,u32
ATTR_L3_TIME_RING,ATTR_L3_TIME_RING,0x514ea87,u32
ATTR_L3_GPTR_RING,ATTR_L3_GPTR_RING,0x2179cb4,u32
ATTR_DPLL_RING,ATTR_DPLL_RING,0xad1e658,u32
ATTR_PG_FSI,ATTR_PG_FSI,0xa484728,u8
ATTR_PG_PRV,ATTR_PG_PRV,0xf1e3768,u8
ATTR_PG_N0,ATTR_PG_N0,0x6e7e43d,u8
ATTR_PG_N1,ATTR_PG_N1,0x916d851,u8
ATTR_PG_N2,ATTR_PG_N2,0x311b213,u8
ATTR_PG_N3,ATTR_PG_N3,0x196b4d6,u8
ATTR_PG_XB,ATTR_PG_XB,0xbdda26f,u8
ATTR_PG_MC01,ATTR_PG_MC01,0xc307a5c,u8
ATTR_PG_MC23,ATTR_PG_MC23,0xe2ae686,u8
ATTR_PG_OB0,ATTR_PG_OB0,0x4b73198,u8
ATTR_PG_OB1,ATTR_PG_OB1,0x51edd9c,u8
ATTR_PG_OB2,ATTR_PG_OB2,0x8588771,u8
ATTR_PG_OB3,ATTR_PG_OB3,0x5f2d7ec,u8
ATTR_PG_PCI0,ATTR_PG_PCI0,0x16db49c,u8
ATTR_PG_PCI1,ATTR_PG_PCI1,0x3056952,u8
ATTR_PG_PCI2,ATTR_PG_PCI2,0x122b6d7,u8
ATTR_PG_EQ0,ATTR_PG_EQ0,0x878b5c8,u8
ATTR_PG_EQ1,ATTR_PG_EQ1,0x03c3069,u8
ATTR_PG_EQ2,ATTR_PG_EQ2,0xc013357,u8
ATTR_PG_EQ3,ATTR_PG_EQ3,0xf230319,u8
ATTR_PG_EQ4,ATTR_PG_EQ4,0xbbac8d0,u8
ATTR_PG_EQ5,ATTR_PG_EQ5,0x2dc5723,u8
ATTR_PG_EC00,ATTR_PG_EC00,0x901df3a,u8
ATTR_PG_EC01,ATTR_PG_EC01,0x47d022a,u8
ATTR_PG_EC02,ATTR_PG_EC02,0x08de5af,u8
ATTR_PG_EC03,ATTR_PG_EC03,0xb7fc8f5,u8
ATTR_PG_EC04,ATTR_PG_EC04,0xb5fcba5,u8
ATTR_PG_EC05,ATTR_PG_EC05,0x83a3441,u8
ATTR_PG_EC06,ATTR_PG_EC06,0x1b6bebf,u8
ATTR_PG_EC07,ATTR_PG_EC07,0x1eb958b,u8
ATTR_PG_EC08,ATTR_PG_EC08,0x09e32c8,u8
ATTR_PG_EC09,ATTR_PG_EC09,0x6775c2d,u8
ATTR_PG_EC10,ATTR_PG_EC10,0xddbba81,u8
ATTR_PG_EC11,ATTR_PG_EC11,0xfc76788,u8
ATTR_PG_EC12,ATTR_PG_EC12,0x3f34e1f,u8
ATTR_PG_EC13,ATTR_PG_EC13,0x9ff5ec8,u8
ATTR_PG_EC14,ATTR_PG_EC14,0x0aa4ad3,u8
ATTR_PG_EC15,ATTR_PG_EC15,0x30379c7,u8
ATTR_PG_EC16,ATTR_PG_EC16,0x0f4b161,u8
ATTR_PG_EC17,ATTR_PG_EC17,0xcf99c88,u8
ATTR_PG_EC18,ATTR_PG_EC18,0x9867191,u8
ATTR_PG_EC19,ATTR_PG_EC19,0xeb29d56,u8
ATTR_PG_EC20,ATTR_PG_EC20,0xeb32b14,u8
ATTR_PG_EC21,ATTR_PG_EC21,0x31c5be4,u8
ATTR_PG_EC22,ATTR_PG_EC22,0x0563eb4,u8
ATTR_PG_EC23,ATTR_PG_EC23,0x8477c54,u8
ATTR_CHIP_UNIT_POS,ATTR_CHIP_UNIT_POS,0x07f067a,u8
ATTR_FABRIC_SYSTEM_ID,ATTR_FABRIC_SYSTEM_ID,0x6856732,u8
ATTR_SYSTEM_IPL_PHASE,ATTR_SYSTEM_IPL_PHASE,0xf9c1ac6,u8
ATTR_BACKUP_SEEPROM_SELECT,ATTR_BACKUP_SEEPROM_SELECT,0x4ca9b40,u8
ATTR_MC_SYNC_MODE,ATTR_MC_SYNC_MODE,0x0472be6,u8
