Version,Chiplet,Base Address,Chiplet Id - range,Bit Mask,User,Register name,Description/Usage,Type
,DLM,C01140F,0x0C-0x0F,,L. Lambrecht,REG0.PMU_CNTR,performance monitor used for link utilization (possibly remove),read_denylist
,INT,2010AA0,0x02,,D. Shedivy,INT_PC.NXC_REGS.INT_PC_NXC_WATCH0_SPEC,Read has side-effects on Cache Watch sequence,read_denylist
,INT,2010AA4,0x02,,D. Shedivy,INT_PC.NXC_REGS.INT_PC_NXC_WATCH0_DATA0,Read has side-effects on Cache Watch sequence,read_denylist
,INT,2010AA8,0x02,,D. Shedivy,INT_PC.NXC_REGS.INT_PC_NXC_WATCH1_SPEC,Read has side-effects on Cache Watch sequence,read_denylist
,INT,2010AAC,0x02,,D. Shedivy,INT_PC.NXC_REGS.INT_PC_NXC_WATCH1_DATA0,Read has side-effects on Cache Watch sequence,read_denylist
,INT,2010AB0,0x02,,D. Shedivy,INT_PC.NXC_REGS.INT_PC_NXC_WATCH2_SPEC,Read has side-effects on Cache Watch sequence,read_denylist
,INT,2010AB4,0x02,,D. Shedivy,INT_PC.NXC_REGS.INT_PC_NXC_WATCH2_DATA0,Read has side-effects on Cache Watch sequence,read_denylist
,INT,2010AB8,0x02,,D. Shedivy,INT_PC.NXC_REGS.INT_PC_NXC_WATCH3_SPEC,Read has side-effects on Cache Watch sequence,read_denylist
,INT,2010ABC,0x02,,D. Shedivy,INT_PC.NXC_REGS.INT_PC_NXC_WATCH3_DATA0,Read has side-effects on Cache Watch sequence,read_denylist
,INT,20109A0,0x02,,D. Shedivy,INT_VC.INT_VC_ENDC_WATCH0_SPEC,Read has side-effects on Cache Watch sequence,read_denylist
,INT,20109A4,0x02,,D. Shedivy,INT_VC.INT_VC_ENDC_WATCH0_DATA0,Read has side-effects on Cache Watch sequence,read_denylist
,INT,20109A8,0x02,,D. Shedivy,INT_VC.INT_VC_ENDC_WATCH1_SPEC,Read has side-effects on Cache Watch sequence,read_denylist
,INT,20109AC,0x02,,D. Shedivy,INT_VC.INT_VC_ENDC_WATCH1_DATA0,Read has side-effects on Cache Watch sequence,read_denylist
,INT,20109B0,0x02,,D. Shedivy,INT_VC.INT_VC_ENDC_WATCH2_SPEC,Read has side-effects on Cache Watch sequence,read_denylist
,INT,20109B4,0x02,,D. Shedivy,INT_VC.INT_VC_ENDC_WATCH2_DATA0,Read has side-effects on Cache Watch sequence,read_denylist
,INT,20109B8,0x02,,D. Shedivy,INT_VC.INT_VC_ENDC_WATCH3_SPEC,Read has side-effects on Cache Watch sequence,read_denylist
,INT,20109BC,0x02,,D. Shedivy,INT_VC.INT_VC_ENDC_WATCH3_DATA0,Read has side-effects on Cache Watch sequence,read_denylist
,INT,2010B20,0x02,,D. Shedivy,INT_PC.REGS.INT_TCTXT_LSI_TRIG_EOI,Read has side-effects on LSI state,read_denylist
,INT,2010B21,0x02,,D. Shedivy,INT_PC.REGS.INT_TCTXT_LSI_STEOI_LD,Read has side-effects on LSI state,read_denylist
,INT,2010B24,0x02,,D. Shedivy,INT_PC.REGS.INT_TCTXT_LSI_SET_00,Read has side-effects on LSI state,read_denylist
,INT,2010B25,0x02,,D. Shedivy,INT_PC.REGS.INT_TCTXT_LSI_SET_01,Read has side-effects on LSI state,read_denylist
,INT,2010B26,0x02,,D. Shedivy,INT_PC.REGS.INT_TCTXT_LSI_SET_10,Read has side-effects on LSI state,read_denylist
,INT,2010B27,0x02,,D. Shedivy,INT_PC.REGS.INT_TCTXT_LSI_SET_11,Read has side-effects on LSI state,read_denylist
,MCD,301080F,0x03,,J. Liberty,MCD.BANK0_MCD_RW,Read might show snapshot of some state of  MCD MDI storage.  ,read_denylist
,MM (NMMU),2010C4D,0x02,,J. Truelove,MM0.MM_NMMU_PMU0_CTL_REG,Could reverse engineer NMMUs actions,read_denylist
,MM (NMMU),2010C4E,0x02,,J. Truelove,MM0.MM_NMMU_PMU1_CTL_REG,Could reverse engineer NMMUs actions,read_denylist
,MM (NMMU),2010C4F,0x02,,J. Truelove,MM0.MM_NMMU_PMU0_CNT_REG,Could reverse engineer NMMUs actions,read_denylist
,MM (NMMU),2010C50,0x02,,J. Truelove,MM0.MM_NMMU_PMU1_CNT_REG,Could reverse engineer NMMUs actions,read_denylist
,MM (NMMU),2010C51,0x02,,J. Truelove,MM0.MM_NMMU_FLT_STAT_REG,Could reverse engineer NMMUs actions,read_denylist
,NX,2011040,0x02,,J. Reilly,NX.DMA.SU_STATUS,Can see signs of NX activity,read_denylist
,NX,20110A7,0x02,,J. Reilly,NX.PBI.CQ_WRAP.NXCQ_SCOM.NX_PMU0_COUNTER_REG,Can see signs of NX activity,read_denylist
,NX,20110AA,0x02,,J. Reilly,NX.PBI.CQ_WRAP.NXCQ_SCOM.NX_PMU1_COUNTER_REG,Can see signs of NX activity,read_denylist
,NX,20110C3,0x02,,J. Reilly,NX.PBI.PBI_UMAC.EFT_HI_PRIOR_RCV_FIFO_CNTL,Can see signs of NX activity,read_denylist
,NX,20110C4,0x02,,J. Reilly,NX.PBI.PBI_UMAC.SYM_HI_PRIOR_RCV_FIFO_CNTL,Can see signs of NX activity,read_denylist
,NX,20119C5,0x02,,J. Reilly,NX.PBI.PBI_UMAC.GZIP_HI_PRIOR_RCV_FIFO_CNTL,Can see signs of NX activity,read_denylist
,NX,20110CC,0x02,,J. Reilly,NX.PBI.PBI_UMAC.EFT_LO_PRIOR_RCV_FIFO_CNTL,Can see signs of NX activity,read_denylist
,NX,20110CD,0x02,,J. Reilly,NX.PBI.PBI_UMAC.SYM_LO_PRIOR_RCV_FIFO_CNTL,Can see signs of NX activity,read_denylist
,NX,20110CE,0x02,,J. Reilly,NX.PBI.PBI_UMAC.GZIP_LO_PRIOR_RCV_FIFO_CNTL,Can see signs of NX activity,read_denylist
,NX,20110E0,0x02,,J. Reilly,NX.PBI.PBI_RNG.NX_RNG_CFG,Made write-only with sticky bit from pervasive,read_denylist
,NX,20110E1,0x02,,J. Reilly,NX.PBI.PBI_RNG.NX_RNG_ST0,Made write-only with sticky bit from pervasive,read_denylist
,NX,20110E2,0x02,,J. Reilly,NX.PBI.PBI_RNG.NX_RNG_ST1,Made write-only with sticky bit from pervasive,read_denylist
,NX,20110E3,0x02,,J. Reilly,NX.PBI.PBI_RNG.NX_RNG_ST2,Made write-only with sticky bit from pervasive,read_denylist
,NX,20110E4,0x02,,J. Reilly,NX.PBI.PBI_RNG.NX_RNG_BYPASS,Made write-only with sticky bit from pervasive,read_denylist
,NX,20110E5,0x02,,J. Reilly,NX.PBI.PBI_RNG.NX_RNG_RDELAY,Made write-only with sticky bit from pervasive,read_denylist
,NX,20110E6,0x02,,J. Reilly,NX.PBI.PBI_RNG.NX_RNG_RESET,Made write-only with sticky bit from pervasive,read_denylist
,NX,20110E8,0x02,,J. Reilly,NX.PBI.PBI_RNG.NX_RNG_ST,Made write-only with sticky bit from pervasive,read_denylist
,PAU,10010986,0x10-0x13,,J. Mikos,PAU0.CS.CTL.MISC.PERF_COUNT,Performance counter,read_denylist
,PAU,10450108,0x10-0x13,,J. Mikos,PAU0.DAT.MISC.DISPALT_DAT0,Read array containing Powerbus data,read_denylist
,PAU,10450110,0x10-0x13,,J. Mikos,PAU0.DAT.MISC.DISPALT_DAT1,Read array containing Powerbus data,read_denylist
